PERIMETER,FCODE,DEPTCODE,PHONE_NUMB,OWNER,FDESC,ADDRESS_1,ADDRESS_2,BUILDING,ET_ID,MAP_LEGEND,Website,FNAME,Label
0,,,706-821-1242,COUNTY,PUBLIC SAFETY,911 FOURTH ST,,,17,1,http://www.augustaga.gov/index.aspx?nid=66,911/EMA FACILITY,911/EMA Facility
0,,,706-821-2400,COUNTY,COUNTY DEPARTMENT,530 GREENE ST,ROOM 801,MUNICIPAL,54,2,http://www.augustaga.gov/index.aspx?nid=791,ADMINISTRATOR'S OFFICE,Administrator's Office
0,,,706-790-6836,COUNTY,COUNTY DEPARTMENT,4164 MACK LN,,,34,3,http://www.augustaga.gov/index.aspx?nid=586,ANIMAL SERVICES,Animal Services
0,,,706-736-6244,COUNTY,LIBRARY,2260 WALTON WAY,,,18,4,http://www.ecgrl.org/index.php?option=com_content&view=article&id=74&Itemid=91,APPLEBY BRANCH LIBRARY,Appleby Branch Library
0,,,1-888-757-6500,PRIVATE,PAYMENT CENTER,1502 WALTON WAY,,ACE CASH EXPRESS #0910,112,5,http://www.att.com/,AT&T,AT&T
0,,,1-888-757-6500,PRIVATE,PAYMENT CENTER,3215 WRIGHTSBORO RD,,CHECK EXCHANGE 1,113,6,http://www.att.com/,AT&T,AT&T
0,,,1-888-757-6500,PRIVATE,PAYMENT CENTER,2614 PEACH ORCHARD RD,,CHECK EXCHANGE 2,114,7,http://www.att.com/,AT&T,AT&T
0,,,1-888-757-6500,PRIVATE,PAYMENT CENTER,2 GREENE ST,,PAULS UGA SUPERMARKET,157,8,http://www.att.com/,AT&T,AT&T
0,,,1-888-757-6500,PRIVATE,PAYMENT CENTER,1631 GORDON HWY,,BI-LO #560,159,9,http://www.att.com/,AT&T,AT&T
0,,,1-888-757-6500,PRIVATE,PAYMENT CENTER,2625 DEANS BRIDGE RD,,ACE CASH EXPRESS #909,160,10,http://www.att.com/,AT&T,AT&T
0,,,1-888-757-6500,PRIVATE,PAYMENT CENTER,2447 WRIGHTSBORO RD,,TIP TOP FOOD MART 1,158,11,http://www.att.com/,AT&T,AT&T
0,,,1-888-757-6500,PRIVATE,PAYMENT CENTER,3457 PEACH ORCHARD RD,,BI-LO #542,161,12,http://www.att.com/,AT&T,AT&T
0,,,1-888-757-6500,PRIVATE,PAYMENT CENTER,2803 WRIGHTSBORO RD,,BI-LO #514,162,13,http://www.att.com/,AT&T,AT&T
0,,,1-888-757-6500,PRIVATE,PAYMENT CENTER,2512 TOBACCO RD,,BI-LO #292,163,14,http://www.att.com/,AT&T,AT&T
0,,,1-888-757-6500,PRIVATE,PAYMENT CENTER,2760 TOBACCO RD,,AAA GUN & PAWN,164,15,http://www.att.com/,AT&T,AT&T
0,,,706-821-2300,COUNTY,COUNTY DEPARTMENT,530 GREENE ST,ROOM 317,MUNICIPAL,15,16,http://www.augustaga.gov/index.aspx?nid=378,AUGUSTA CARES,Augusta Cares
0,,,706-722-1388,COUNTY,MARINA,1 FIFTH ST,,,40,17,http://www.augustariverwalk.com/augustariverwalkmarina.htm,AUGUSTA MARINA,Augusta Marina
0,,,706-731-9344,COUNTY,GOLF COURSE,2023 HIGHLAND AVE,,,42,18,http://www.thepatchaugusta.com/,AUGUSTA MUNICIPAL GOLF COURSE,Augusta Municipal Golf Course
0,,,706-798-3236,COUNTY,AIRPORT,1501 AVIATION WAY,,,24,19,http://ags.skyharbors.com/,AUGUSTA REGIONAL AIRPORT,Augusta Regional Airport
0,,,706-821-2340,COUNTY,COUNTY DEPARTMENT,530 GREENE ST,ROOM 104,MUNICIPAL,55,20,http://www.augustaga.gov/index.aspx?nid=527,BOARD OF ELECTIONS,Board Of Elections
0,,,706-821-1748,COUNTY,CEMETERY,120 WATKINS ST,,,3,21,http://www.augustaga.gov/index.aspx?NID=349,CEDAR GROVE CEMETERY,Cedar Grove Cemetery
0,,,706-821-2370,COUNTY,COUNTY DEPARTMENT,735 JAMES BROWN BLVD,THIRD FLOOR,AUGUSTA JUDICIAL CENTER,57,22,http://www.augustaga.gov/index.aspx?nid=67,CIVIL AND MAGISTRATE COURT,Civil And Magistrate Court
0,,,706-821-1820,COUNTY,COUNTY DEPARTMENT,530 GREENE ST,ROOM 806,MUNICIPAL,58,23,http://www.augustaga.gov/index.aspx?nid=491,CLERK OF COMMISSION,Clerk Of Commission
0,,,706-821-1217,COUNTY,COURT,401 WALTON WAY,ROOM 218-A,LAW ENFORCEMENT CENTER,84,24,http://www.augustaga.gov/index.aspx?nid=296,CLERK OF STATE COURT,Clerk Of State Court
0,,,706-821-1837,COUNTY,COUNTY DEPARTMENT,735 JAMES BROWN BLVD,FIRST FLOOR,AUGUSTA JUDICIAL CENTER,59,25,http://www.augustaga.gov/index.aspx?nid=296,CLERK OF SUPERIOR COURT,Clerk Of Superior Court
0,,,706-821-2382,COUNTY,COUNTY DEPARTMENT,912 EIGHTH ST,,,60,26,http://www.augustaga.gov/index.aspx?nid=246,CORONER'S OFFICE,Coroner's Office
