PIN,FNAME,Address,City,Zip,Contact,Phone,Capacity,Size_,Bathroom,Cook,Handicap,Animals,X,Y,TwentyFourHour,Shower
170-0-007-00-0,Cross Creek High School,3855 Old Waynesboro Rd,Augusta,30906,Alberto Russo,706-772-8140,754,,YES,YES,YES,NO,706771.773808669,1220765.82574295,NO,YES
045-1-053-00-0,Academy of Richmond County,910 Russell St,Augusta,30904,David Robbins,706-737-7152,629,,YES,YES,YES,NO,705378.271933131,1264074.06635839,NO,YES
096-0-001-00-0,Glenn Hills High School,2840 Glenn Hills Dr,Augusta,30906,Jesse Chambers,706-796-4924,614,,YES,YES,YES,NO,686322.716929819,1246797.77824157,NO,YES
046-3-305-00-0,A R Johnson Magnet School,1324 Laney-Walker Blvd,Augusta,30901,Deborah Walker,706-823-6933,606,,YES,YES,YES,NO,712703.562554467,1260762.00010164,NO,YES
095-0-032-01-0,Glenn Hills Middle School,2941 Glenn Hills Dr,Augusta,30906,Glen Andrews,706-796-4705,603,,YES,YES,YES,NO,684415.836302694,1248448.2532286,NO,YES
046-3-040-00-0,Lucy Laney High School,1339 Laney Walker Blvd,Augusta,30901,,706-823-6900,553,,YES,YES,YES,NO,712363.195686974,1261342.70761091,NO,YES
129-0-015-00-0,Morgan Road Middle School,3635 Heirs Blvd,Augusta,30815,LaMonica Lewis,706-796-4992,549,,YES,YES,YES,NO,678449.187551532,1234126.75011808,NO,YES
017-0-010-00-0,Warren Road Community Center,300 Warren Rd,Augusta,30907,Beverly Carter,706-860-2833,549,,YES,YES,YES,N,689312.553796496,1275194.6958152,NO,YES
013-4-274-00-0,Garrett Community Center,1100 Eisenhower Dr,Augusta,30904,Shirley Osborn,706-821-1775,511,,YES,YES,YES,NO,703101.62501141,1276695.62498941,NO,YES
096-2-075-00-0,Henry H Brigham Community Center,2463 Golden Camp Rd,Augusta,30906,Chris Wilson,706-771-2654,495,,YES,YES,YES,NO,691452.831461262,1247814.7463534,NO,YES
046-2-092-00-0,John S Davidson Magnet School,615 Twelfth St,Augusta,30901,Vicky Addison,706-823-6924,484,,YES,YES,YES,NO,714345.381934103,1263653.36636832,NO,YES
094-0-027-00-0,McDuffie Woods Park,3431 Old McDuffie Rd,Augusta,30906,Frank Booker,706-771-2656,466,,YES,YES,YES,NO,679812.692995138,1247528.43435829,NO,YES
121-4-195-00-0,Sego Middle School,3420 Julia Ave,Augusta,30906,Sonya Jefferson,706-796-4944,398,,YES,YES,YES,NO,697310.219430968,1236593.56697619,NO,YES
059-1-105-00-0,C T Walker Traditional Elem School,1301 Wrightsboro Rd,Augusta,30901,Earl Keyton,706-823-6950,352,,YES,YES,YES,NO,711539.750058431,1259740.12510693,NO,YES
227-0-194-00-0,Hephzibah Elem School,2542 Hwy 88,Hephzibah,30815,Brigitt Gregory,706-592-4561,345,,Yes,Yes,Yes,No,676990.246308964,1204864.92449207,No,Yes
084-4-001-00-0,Terrace Manor Elem School,3110 Tate Rd,Augusta,30906,Hartley Gibbons,706-796-4910,268,,Yes,Yes,Yes,No,689110.126316696,1249369.81823385,No,Yes
121-4-194-00-0,Roy E Rollins Elem School,2160 Mura Dr,Augusta,30906,Cheri Ogdon,706-796-4972,260,,Yes,Yes,Yes,No,696621.091309726,1237027.34449174,No,Yes
096-0-002-00-0,Glenn Hills Elem School,2838 Glenn Hills Dr,Augusta,30906,Pam Ward,706-796-4942,256,,Yes,Yes,Yes,No,686967.248814497,1246168.37510867,No,Yes
179-0-003-08-0,Willis Foreman Elem,2413 Willis Foreman Rd,Augusta,30815,Beverly Brown,706-592-3991,228,,Yes,Yes,Yes,No,682762.511304051,1216104.57636401,No,Yes
110-2-002-00-0,Butler High School,2011 Lumpkin Rd,Augusta,30906,Gregory Thompson,706-796-4959,,,Yes,Yes,Yes,No,701923.278805766,1243722.14511324,No,Yes
082-0-006-00-0,Barton Chapel Elem School,2329 Barton Chapel Rd,Augusta,30906,Ronnie Hardy,706-496-4955,385,,YES,Yes,Yes,No,680308.000065256,1251760.87510602,No,Yes
266-0-006-00-0,Blythe Elem School,290 Church St,Blythe,30805,Terry Walker,706-592-4090,285,,Yes,Yes,Yes,No,643715.937550925,1199987.37511699,No,Yes
198-0-010-06-0,Goshen Elem School,4040 Old Waynesboro Rd,Hephzibah,30906,David Nixon,706-796-4646,540,,Yes,Yes,Yes,No,705406.562567547,1214488.50011905,No,Yes
129-0-015-00-0,Jamestown Elem School,3637 Hiers Blvd,Hephzibah,30815,Mr Collins,706-796-4760,450,,Yes,Yes,Yes,No,677707.562557515,1233616.37510137,No,Yes
071-3-193-00-0,Murphey Middle School,2610 Milledgeville Rd,Augusta,30904,Mary Walton,706-737-7350,630,,Yes,Yes,Yes,No,700735.276314746,1253591.90385719,No,Yes
025-4-015-00-0,John M Tutt Middle School,495 Boy Scout Rd,Augusta,30909,,,112,,Yes,Yes,Yes,No,695158.205693122,1269355.44573414,No,Yes
011-0-073-01-0,Westside High School,1002 Patriots Way,Augusta,30907,Marian Bennett,706-868-4030,525,,Yes,Yes,Yes,No,691990.937566385,1279621.87511249,No,Yes
179-0-003-08-0,Spirit Creek Middle School,115 Dolphin Way,Hephzibah,30815,Karen Melvin Avery,706-592-3987,450,,Yes,Yes,Yes,No,683515.899437208,1216914.58010326,No,Yes
249-0-043-03-0,Hephzibah Middle School,2427 Mims Rd,Hephzibah,30815,Wade White,706-592-4534,537,,Yes,Yes,Yes,No,678763.155063167,1201098.09448311,No,Yes
058-3-111-00-0,T W Josey Comprehensive High School,1701 Fifteenth St,Augusta,30901,Ron Wiggins,706-737-7360,894,,Yes,Yes,Yes,No,707051.823804613,1256830.11510781,No,Yes
178-0-008-00-0,Diamond Lakes Community Center,105 Diamond Lake Way,Hephzibah,30815,Tony Miller/Tammie Hayward,706-772-2418,,,,,,,680658.148024827,1220839.71273114,,
128-0-014-10-0,Jamestown Community Center,3647 Karleen Rd,Hephzibah,30815,Sammie Sias,706-790-1805,103,,Yes,Yes,Yes,No,670885.240851786,1232304.92265084,No,Yes
047-4-451-00-0,May Park,622 Fourth St,Augusta,30901,Lilia Jackson,706-724-0405,420,,Yes,Yes,Yes,No,719812.875149932,1260693.49987689,No,Yes
223-0-036-00-0,Blythe Recreation Center,3129 Hwy 88,Blythe,30805,Patricia Strakosch,706-592-4988,170,,Yes,Yes,Yes,No,655887.00761535,1206752.12177329,No,Yes
110-2-003-00-0,Bernie Ward Community Center,1941 Lumpkin Rd,Augusta,30906,Raford Kelly,706-790-0468,420,,YES,Yes,Yes,No,702502.895728394,1243416.4946963,No,Yes
337-0-001-01-0,McBean Community Center,1155 Hephzibah-McBean Rd,Hephzibah,30815,Nora Lamb,706-979-7731,118,,Yes,Yes,Yes,No,713700.54166827,1187041.27554569,No,Yes
011-0-020-02-0,Warren Baptist Church,3203 Washington Rd,Augusta,30907,Roger Henderson,706-860-1586,485,485,YES,YES,YES,NO,688244.66331657,1279075.89351194,NO,YES
027-3-105-00-0,Lake Park Baptist Church,211 Milledge Rd,Augusta,30901,Dwayne McIntosh,706-733-1047,,,,,,,704952.579375915,1268972.66354168,,
230-0-001-00-0,Liberty United Methodist Church,2040 Liberty Church Rd.,Hephzibah,30815,Karen Meyers,706-592-4669,,,,,,,695400.708124552,1207759.53248059,,
011-0-282-01-0,Vineyard Christian Fellowship Church,3126 Parrish Rd,Augusta,30907,Reese LeRoy,706-863-9766,275,,,,,,689436.878356218,1279436.7961568,,
011-0-096-00-0,Advent Lutheran Church,3232 Washington Rd,Augusta,30907,,,135,,,,,,687442.062351234,1278325.72773567,,
047-1-300-02-0,James Brown Arena,601 Seventh St,Augusta,30901,"Morty Jones, Jr.",706-533-5824,729,,YES,NO,YES,YES,717224.628772806,1262297.00161765,,
060-1-043-00-0,Exchange Club of Augusta,308 Hale St,Augusta,30901,Sharon Broady,706-790-6836,,,YES,NO,YES,YES,719282.001347389,1259274.24653003,,
024-4-023-01-0,Aldersgate United Methodist Church,3185 Wheeler Rd,Augusta,30909,John Watley,706-733-4416,57,,YES,YES,YES,NO,691774.768919162,1269489.61637814,,YES
047-1-291-00-0,Bell Auditorium,712 Telfair St,Augusta,30901,Nancy Ross,706-796-6522,81,,YES,YES,YES,NO,717341.869799837,1262723.83784687,NO,YES
083-0-002-00-0,Broadway Baptist Church,2323 Barton Chapel Rd,Augusta,30906,Nancy Ross,706-796-6522,81,,YES,YES,YES,NO,680280.954133294,1251130.44426648,NO,YES
109-2-001-00-0,Burns Memorial United Methodist Church,2372 Lumpkin Rd,Augusta,30906,Dee McDaniel,706-796-0358,348,,YES,YES,YES,NO,695486.543134779,1243865.15632232,NO,YES
019-1-002-01-0,Whole Life Ministries,2621 Washington Rd,Augusta,30904,Eugene Sherheart,706-737-4530,61,,YES,YES,YES,NO,701232.78339972,1276217.51243974,NO,YES
044-1-018-00-0,Trinity United Methodist,1330 Monte Sano Ave,Augusta,30904,Scott Parish,706-738-8822,456,,YES,YES,YES,NO,698882.647835724,1263824.01559818,NO,YES
227-0-081-00-0,Hephzibah Baptist,2527,Hephzibah,30815,Lane Newsome,706-592-4669,150,,YES,YES,YES,NO,677256.801797546,1205680.50886852,NO,YES
031-0-014-00-0,Fist Baptist Church of Augusta,3500 Walton Way,Augusta,30909,Jake Malone,706-733-2236,734,,YES,YES,YES,NO,684166.785042856,1267332.40345141,NO,YES
019-4-116-01-0,Saint Marks United Church,2367 Washington Rd,Augusta,30904,,706-736-8185,490,,YES,YES,YES,NO,703448.501547504,1273033.26131159,NO,YES
227-0-200-01-0,Hephzibah United Methodist Church,4431 Brothersville Rd,Hephzibah,30815,TG Hall,706-592-4305,240,,YES,YES,YES,NO,677221.621036902,1204195.41132259,NO,YES
