FNAME,CODE,FCODE,ADDRESS,YRBUILT,ENGCO,SPECIALTY,NO_STAFF,STATUS,LEVEL_,AERTRUCK,SVCTRUCK,INDEX_SEARCH,PIN,Website
AUGUSTA FIRE DEPARTMENT,801,FDS,1099 REYNOLDS ST,1969,3,HIGH ANGLE ROPE RESCUE,24,A,COUNTY,AT-01,,"AUGUSTA FIRE DEPARTMENT, fires stations",036-4-034-00-0,http://www.augustaga.gov/index.aspx?nid=150
AUGUSTA FIRE DEPARTMENT,801,FDS,2619 LUMPKIN RD,1970,13,,12,A,COUNTY,,,"AUGUSTA FIRE DEPARTMENT, fires stations",096-2-142-01-0,http://www.augustaga.gov/index.aspx?nid=150
AUGUSTA FIRE DEPARTMENT,801,FDS,3507 WALTON WAY,1966,9,,10,A,COUNTY,,,"AUGUSTA FIRE DEPARTMENT, fires stations",031-0-025-00-0,http://www.augustaga.gov/index.aspx?nid=150
AUGUSTA FIRE DEPARTMENT,801,FDS,1866 ELLIS ST,1974,4,,11,A,COUNTY,,,"AUGUSTA FIRE DEPARTMENT, fires stations",035-2-219-00-0,http://www.augustaga.gov/index.aspx?nid=150
AUGUSTA FIRE DEPARTMENT,801,FDS,1898 MARTIN LUTHER KING BLVD,1993,5,,12,A,COUNTY,,,"AUGUSTA FIRE DEPARTMENT, fires stations",059-3-583-00-0,http://www.augustaga.gov/index.aspx?nid=150
AUGUSTA FIRE DEPARTMENT,801,FDS,2243 OLD SAVANNAH RD,1980,11,,10,A,COUNTY,,,"AUGUSTA FIRE DEPARTMENT, fires stations",087-1-226-01-0,http://www.augustaga.gov/index.aspx?nid=150
AUGUSTA FIRE DEPARTMENT,801,FDS,2618 RICHMOND HILL RD,1954,6,,27,A,COUNTY,AT-04,,"AUGUSTA FIRE DEPARTMENT, fires stations",097-2-156-01-0,http://www.augustaga.gov/index.aspx?nid=150
AUGUSTA FIRE DEPARTMENT,801,FDS,3446 LOUISVILLE RD,1994,16,,11,A,COUNTY,,,"AUGUSTA FIRE DEPARTMENT, fires stations",133-0-023-05-0,http://www.augustaga.gov/index.aspx?nid=150
AUGUSTA FIRE DEPARTMENT,801,FDS,3705 OLD WAYNESBORO RD,1975,17,,14,A,COUNTY,,LADDER ST-05,"AUGUSTA FIRE DEPARTMENT, fires stations",157-0-015-01-0,http://www.augustaga.gov/index.aspx?nid=150
AUGUSTA FIRE DEPARTMENT,801,FDS,1151 HEPHZIBAH-MCBEAN RD,2004,12,,12,A,COUNTY,,TANKER-01,"AUGUSTA FIRE DEPARTMENT, fires stations",337-0-001-01-0,http://www.augustaga.gov/index.aspx?nid=150
AUGUSTA FIRE DEPARTMENT,801,FDS,3507 HIGHWAY 88,1980,14,,10,A,COUNTY,,TANKER-02,"AUGUSTA FIRE DEPARTMENT, fires stations",266-0-006-01-0,http://www.augustaga.gov/index.aspx?nid=150
